date,spx,dax,ftse,nikkei
2024-03-27,5248.490234375,18477.08984375,7932.0,40762.73046875
2024-03-28,5254.35009765625,18492.490234375,7952.60009765625,40168.0703125
2024-03-29,,,,40369.44140625
2024-04-01,5243.77001953125,,,39803.08984375
2024-04-02,5205.81005859375,18283.130859375,7935.10009765625,39838.91015625
2024-04-03,5211.490234375,18367.720703125,7937.39990234375,39451.8515625
2024-04-04,5147.2099609375,18403.130859375,7975.89990234375,39773.140625
2024-04-05,5204.33984375,18175.0390625,7911.2001953125,38992.078125
2024-04-08,5202.39013671875,18318.970703125,7943.5,39347.0390625
2024-04-09,5209.91015625,18076.689453125,7934.7998046875,39773.12890625
2024-04-10,5160.64013671875,18097.30078125,7961.2001953125,39581.80859375
2024-04-11,5199.06005859375,17954.48046875,7923.7998046875,39442.62890625
2024-04-12,5123.41015625,17930.3203125,7995.60009765625,39523.55078125
2024-04-15,5061.81982421875,18026.580078125,7965.5,39232.80078125
2024-04-16,5051.41015625,17766.23046875,7820.39990234375,38471.19921875
2024-04-17,5022.2099609375,17770.01953125,7848.0,37961.80078125
2024-04-18,5011.1201171875,17837.400390625,7877.10009765625,38079.69921875
2024-04-19,4967.22998046875,17737.359375,7895.89990234375,37068.3515625
2024-04-22,5010.60009765625,17860.80078125,8023.89990234375,37438.609375
2024-04-23,5070.5498046875,18137.650390625,8044.7998046875,37552.16015625
2024-04-24,5071.6298828125,18088.69921875,8040.39990234375,38460.078125
2024-04-25,5048.419921875,17917.279296875,8078.89990234375,37628.48046875
2024-04-26,5099.9599609375,18161.009765625,8139.7998046875,37934.76171875
2024-04-29,5116.169921875,18118.3203125,8147.0,
2024-04-30,5035.68994140625,17932.169921875,8144.10009765625,38405.66015625
2024-05-01,5018.39013671875,,8121.2001953125,38274.05078125
2024-05-02,5064.2001953125,17896.5,8172.2001953125,38236.0703125
2024-05-03,5127.7900390625,18001.599609375,8213.5,
2024-05-06,5180.740234375,18175.2109375,,
2024-05-07,5187.7001953125,18430.05078125,8313.7001953125,38835.1015625
2024-05-08,5187.669921875,18498.380859375,8354.099609375,38202.37109375
2024-05-09,5214.080078125,18686.599609375,8381.400390625,38073.98046875
2024-05-10,5222.68017578125,18772.849609375,8433.7998046875,38229.109375
2024-05-13,5221.419921875,18742.220703125,8415.0,38179.4609375
2024-05-14,5246.68017578125,18716.419921875,8428.099609375,38356.05859375
2024-05-15,5308.14990234375,18869.359375,8445.7998046875,38385.73046875
2024-05-16,5297.10009765625,18738.810546875,8438.7001953125,38920.26171875
2024-05-17,5303.27001953125,18704.419921875,8420.2998046875,38787.37890625
2024-05-20,5308.1298828125,18768.9609375,8424.2001953125,39069.6796875
2024-05-21,5321.41015625,18726.759765625,8416.5,38946.9296875
2024-05-22,5307.009765625,18680.19921875,8370.2998046875,38617.1015625
2024-05-23,5267.83984375,18691.3203125,8339.2001953125,39103.21875
2024-05-24,5304.72021484375,18693.369140625,8317.599609375,38646.109375
2024-05-27,,18774.7109375,,38900.01953125
2024-05-28,5306.0400390625,18677.869140625,8254.2001953125,38855.37109375
2024-05-29,5266.9501953125,18473.2890625,8183.10009765625,38556.87109375
2024-05-30,5235.47998046875,18496.7890625,8231.099609375,38054.12890625
2024-05-31,5277.509765625,18497.939453125,8275.400390625,38487.8984375
2024-06-03,5283.39990234375,18608.16015625,8262.7998046875,38923.03125
2024-06-04,5291.33984375,18405.640625,8232.0,38837.4609375
2024-06-05,5354.02978515625,18575.939453125,8247.0,38490.171875
2024-06-06,5352.9599609375,18652.669921875,8285.2998046875,38703.51171875
2024-06-07,5346.990234375,18557.26953125,8245.400390625,38683.9296875
2024-06-10,5360.7900390625,18494.890625,8228.5,39038.16015625
2024-06-11,5375.31982421875,18369.939453125,8147.7998046875,39134.7890625
2024-06-12,5421.02978515625,18630.859375,8215.5,38876.7109375
2024-06-13,5433.740234375,18265.6796875,8163.7001953125,38720.46875
2024-06-14,5431.60009765625,18002.01953125,8146.89990234375,38814.55859375
